NDB_NO,Description,Fat (g),Fiber (g),Sugars (g),Energy (kcal),Carbohydrate (g),Protein (g),Calcium (mg),Iron (mg),Vitamin C (mg),,,,
11860,"Squash, summer, scallop, cooked, boiled, drained, with salt",0.17,1.9,1.5,16,3.3,1.03,15,0.33,10.8,,,,
11476,"Squash, summer, scallop, cooked, boiled, drained, without salt",0.17,1.9,1.5,16,3.3,1.03,15,0.33,10.8,,,,
11475,"Squash, summer, scallop, raw",0.2,1.2,2.39,18,3.84,1.2,19,0.4,18,,,,
11861,"Squash, summer, zucchini, includes skin, cooked, boiled, drained, with salt",0.36,1,1.71,15,2.69,1.14,18,0.37,12.9,,,,
11478,"Squash, summer, zucchini, includes skin, cooked, boiled, drained, without salt",0.36,1,1.71,15,2.69,1.14,18,0.37,12.9,,,,
11862,"Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, with salt",0.13,1.3,1.69,14,2.97,1.15,17,0.48,3.7,,,,
11480,"Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, without salt",0.13,1.3,1.69,17,3.56,1.15,17,0.48,3.7,,,,
11479,"Squash, summer, zucchini, includes skin, frozen, unprepared",0.13,1.3,1.71,17,3.58,1.16,18,0.51,5.3,,,,
11477,"Squash, summer, zucchini, includes skin, raw",0.32,1,2.5,17,3.11,1.21,16,0.37,17.9,,,,
11863,"Squash, winter, all varieties, cooked, baked, with salt",0.35,2.8,3.3,37,8.85,0.89,22,0.44,1.8,,,,
11644,"Squash, winter, all varieties, cooked, baked, without salt",0.35,2.8,3.3,37,8.85,0.89,22,0.44,9.6,,,,
11643,"Squash, winter, all varieties, raw",0.13,1.5,2.2,34,8.59,0.95,28,0.58,12.3,,,,
11866,"Squash, winter, butternut, cooked, baked, with salt",0.09,3.2,1.97,40,10.49,0.9,41,0.6,15.1,,,,
11486,"Squash, winter, butternut, cooked, baked, without salt",0.09,3.2,1.97,40,10.49,0.9,41,0.6,15.1,,,,
11487,"Squash, winter, butternut, frozen, unprepared",0.1,1.3,2.83,57,14.41,1.76,29,0.88,6.2,,,,
11485,"Squash, winter, butternut, raw",0.1,2,2.2,45,11.69,1,48,0.7,21,,,,
11869,"Squash, winter, hubbard, cooked, boiled, mashed, with salt",0.37,2.9,2.93,30,6.46,1.48,10,0.28,6.5,,,,
11491,"Squash, winter, hubbard, cooked, boiled, mashed, without salt",0.37,2.9,2.93,30,6.46,1.48,10,0.28,6.5,,,,
11489,"Squash, winter, hubbard, raw",0.5,3.9,3.95,40,8.7,2,14,0.4,11,,,,
11870,"Squash, winter, spaghetti, cooked, boiled, drained, or baked, with salt",0.26,1.4,2.53,27,6.46,0.66,21,0.34,3.5,,,,
11493,"Squash, winter, spaghetti, cooked, boiled, drained, or baked, without salt",0.26,1.4,2.53,27,6.46,0.66,21,0.34,3.5,,,,
11492,"Squash, winter, spaghetti, raw",0.57,1.5,2.76,31,6.91,0.64,23,0.31,2.1,,,,
9317,"Strawberries, canned, heavy syrup pack, solids and liquids",0.26,1.7,21.83,92,23.53,0.56,13,0.49,31.7,,,,
9320,"Strawberries, frozen, sweetened, sliced",0.13,1.9,24.01,96,25.92,0.53,11,0.59,41.4,,,,
9319,"Strawberries, frozen, sweetened, whole",0.14,1.9,18.61,78,21,0.52,11,0.47,39.5,,,,
9318,"Strawberries, frozen, unsweetened",0.11,2.1,4.56,35,9.13,0.43,16,0.75,41.2,,,,
9316,"Strawberries, raw",0.3,2,4.89,32,7.68,0.67,16,0.41,58.8,,,,
11872,"Succotash, (corn and limas), frozen, cooked, boiled, drained, with salt",0.89,4.1,2.21,93,19.95,4.31,15,0.89,5.9,,,,
11502,"Succotash, (corn and limas), frozen, cooked, boiled, drained, without salt",0.89,4.1,2.21,93,19.95,4.31,15,0.89,5.9,,,,
11874,"Sweet potato leaves, cooked, steamed, with salt",0.34,1.9,5.48,35,7.38,2.18,33,0.63,1.5,,,,
11506,"Sweet potato leaves, cooked, steamed, without salt",0.34,1.9,5.48,41,7.38,2.18,33,0.63,1.5,,,,
31025,"Sweet Potato puffs, frozen, unprepared",3.58,1.9,7.65,161,30.72,1.36,57,0.4,2.2,,,,
11514,"Sweet potato, canned, mashed",0.2,1.7,5.45,101,23.19,1.98,30,1.33,5.2,,,,
11647,"Sweet potato, canned, syrup pack, drained solids",0.32,3,5.74,108,25.36,1.28,17,0.95,10.8,,,,
11645,"Sweet potato, canned, syrup pack, solids and liquids",0.2,2.5,15.4,89,20.93,0.98,15,0.8,10.5,,,,
11512,"Sweet potato, canned, vacuum pack",0.2,1.8,5,91,21.12,1.65,22,0.89,26.4,,,,
11875,"Sweet potato, cooked, baked in skin, flesh, with salt",0.15,3.3,6.48,92,20.71,2.01,38,0.69,19.6,,,,
11508,"Sweet potato, cooked, baked in skin, flesh, without salt",0.15,3.3,6.48,90,20.71,2.01,38,0.69,19.6,,,,
11510,"Sweet potato, cooked, boiled, without skin",0.14,2.5,5.74,76,17.72,1.37,27,0.72,12.8,,,,
11876,"Sweet potato, cooked, boiled, without skin, with salt",0.14,2.5,5.74,76,17.72,1.37,27,0.72,12.8,,,,
11659,"Sweet potato, cooked, candied, home-prepared",3.54,2.1,27.25,164,32.12,0.89,26,0.79,9,,,,
11517,"Sweet potato, frozen, cooked, baked, without salt",0.12,1.8,9.17,100,23.4,1.71,35,0.54,9.1,,,,
11507,"Sweet potato, raw, unprepared",0.05,3,4.18,86,20.12,1.57,30,0.61,2.4,,,,
31024,"Sweet Potatoes, french fried, crosscut, frozen, unprepared",11.1,3.4,6.46,209,25.52,1.7,39,0.44,4.2,,,,
31023,"Sweet Potatoes, french fried, frozen as packaged, salt added in processing",8.92,5.7,12.9,182,35.58,2.16,52,0.77,7.5,,,,
9437,"Tamarind nectar, canned",0.12,0.5,12.7,57,14.73,0.09,10,0.75,7.1,,,,
9322,"Tamarinds, raw",0.6,5.1,38.8,239,62.5,2.8,74,2.8,3.5,,,,
9219,"Tangerines, (mandarin oranges), canned, juice pack",0.03,0.7,8.87,37,9.57,0.62,11,0.27,34.2,,,,
9383,"Tangerines, (mandarin oranges), canned, juice pack, drained",0.04,1.2,8.25,38,9.41,0.75,12,0.27,33.9,,,,
9220,"Tangerines, (mandarin oranges), canned, light syrup pack",0.1,0.7,15.49,61,16.19,0.45,7,0.37,19.8,,,,
9218,"Tangerines, (mandarin oranges), raw",0.31,1.8,10.58,53,13.34,0.81,37,0.15,26.7,,,,
11520,"Taro leaves, raw",0.74,3.7,3.01,42,6.7,4.98,107,2.25,52,,,,
11878,"Taro, cooked, with salt",0.11,5.1,0.49,142,34.6,0.52,18,0.72,5,,,,
11519,"Taro, cooked, without salt",0.11,5.1,0.49,142,34.6,0.52,18,0.72,5,,,,
11518,"Taro, raw",0.2,4.1,0.4,112,26.46,1.5,43,0.55,4.5,,,,
43476,Tofu yogurt,1.8,0.2,1.24,94,15.96,3.5,118,1.06,2.5,,,,
16159,"Tofu, extra firm, prepared with nigari",5.26,1,0.71,83,1.18,9.98,282,2.04,0,,,,
16126,"Tofu, firm, prepared with calcium sulfate and magnesium chloride (nigari)",4.17,0.9,0.6,78,2.85,9.04,201,1.61,0.2,,,,
16129,"Tofu, fried",20.18,3.9,2.72,270,8.86,18.82,372,4.87,0,,,,
16427,"Tofu, raw, regular, prepared with calcium sulfate",4.78,0.3,0.62,76,1.87,8.08,350,5.36,0.1,,,,
16127,"Tofu, soft, prepared with calcium sulfate and magnesium chloride (nigari)",3.69,0.2,0.7,61,1.18,7.17,111,1.11,0.2,,,,
11954,"Tomatillos, raw",1.02,1.9,3.93,32,5.84,0.96,7,0.62,11.7,,,,
43365,"Tomato and vegetable juice, low sodium",0.1,0.8,3.28,22,4.59,0.6,11,0.42,27.7,,,,
11540,"Tomato juice, canned, with salt added",0.29,0.4,2.58,17,3.53,0.85,10,0.39,70.1,,,,
11886,"Tomato juice, canned, without salt added",0.29,0.4,2.58,17,3.53,0.85,10,0.39,70.1,,,,
11546,"Tomato products, canned, paste, without salt added",0.47,4.1,12.18,82,18.91,4.32,36,2.98,21.9,,,,
11888,"Tomato products, canned, puree, with salt added",0.21,1.9,4.83,38,8.98,1.65,18,1.78,10.6,,,,
11547,"Tomato products, canned, puree, without salt added",0.21,1.9,4.83,38,8.98,1.65,18,1.78,10.6,,,,
11549,"Tomato products, canned, sauce",0.3,1.5,3.56,24,5.31,1.2,14,0.96,7,,,,
11551,"Tomato products, canned, sauce, with mushrooms",0.13,1.5,5.77,35,8.43,1.45,13,0.89,12.4,,,,
11557,"Tomato products, canned, sauce, with onions, green peppers, and celery",0.74,1.4,7.36,41,8.77,0.94,13,0.76,13.2,,,,
43217,"Tomato sauce, canned, no salt added",0.3,1.5,3.56,24,5.31,1.2,14,0.96,7,,,,
11693,"Tomatoes, crushed, canned",0.28,1.9,4.4,32,7.29,1.64,34,1.3,9.2,,,,
11527,"Tomatoes, green, raw",0.2,1.1,4,23,5.1,1.2,13,0.51,23.4,,,,
11531,"Tomatoes, red, ripe, canned, packed in tomato juice",0.25,1.9,2.55,16,3.47,0.79,33,0.57,12.6,,,,
11885,"Tomatoes, red, ripe, canned, packed in tomato juice, no salt added",0.25,1.9,2.55,16,3.47,0.79,33,0.57,12.6,,,,
11533,"Tomatoes, red, ripe, canned, stewed",0.19,1,3.52,26,6.19,0.91,34,1.33,7.9,,,,
11530,"Tomatoes, red, ripe, cooked",0.11,0.7,2.49,18,4.01,0.95,11,0.68,22.8,,,,
11884,"Tomatoes, red, ripe, cooked, with salt",0.11,0.7,2.49,18,4.01,0.95,11,0.68,22.8,,,,
11529,"Tomatoes, red, ripe, raw, year round average",0.2,1.2,2.63,18,3.89,0.88,10,0.27,13.7,,,,
11955,"Tomatoes, sun-dried",2.97,12.3,37.59,258,55.76,14.11,110,9.09,39.2,,,,
11893,"Turnip greens and turnips, frozen, cooked, boiled, drained, with salt",0.38,3.1,0.95,34,4.74,2.99,128,1.75,18.2,,,,
11577,"Turnip greens and turnips, frozen, cooked, boiled, drained, without salt",0.38,3.1,1.07,35,4.85,2.99,128,1.75,18.2,,,,
43387,"Turnip greens, canned, no salt added",0.3,1.3,0.42,19,2.81,1.36,118,1.51,15.5,,,,
11891,"Turnip greens, cooked, boiled, drained, with salt",0.23,3.5,0.53,20,4.36,1.14,137,0.8,27.4,,,,
11569,"Turnip greens, cooked, boiled, drained, without salt",0.23,3.5,0.53,20,4.36,1.14,137,0.8,27.4,,,,
11892,"Turnip greens, frozen, cooked, boiled, drained, with salt",0.42,3.4,0.75,29,4.98,3.35,152,1.94,21.8,,,,
11575,"Turnip greens, frozen, cooked, boiled, drained, without salt",0.42,3.4,0.75,29,4.98,3.35,152,1.94,21.8,,,,
11568,"Turnip greens, raw",0.3,3.2,0.81,32,7.13,1.5,190,1.1,60,,,,
11889,"Turnips, cooked, boiled, drained, with salt",0.08,2,2.99,22,5.06,0.71,22,0.22,11.6,,,,
11565,"Turnips, cooked, boiled, drained, without salt",0.08,2,2.99,22,5.06,0.71,33,0.18,11.6,,,,
11890,"Turnips, frozen, cooked, boiled, drained, with salt",0.24,2,1.73,21,3.73,1.53,32,0.98,3.9,,,,
11567,"Turnips, frozen, cooked, boiled, drained, without salt",0.24,2,2.35,23,4.35,1.53,32,0.98,3.9,,,,
11564,"Turnips, raw",0.1,1.8,3.8,28,6.43,0.9,30,0.3,21,,,,
11578,"Vegetable juice cocktail, canned",0.31,0.5,2.84,22,3.87,0.93,14,0.28,54.3,,,,
11585,"Vegetable juice cocktail, low sodium, canned",0.32,0.5,2.78,19,3.83,0.91,15,0.29,54.3,,,,
31035,"Vegetable juice, BOLTHOUSE FARMS, DAILY GREENS",0.04,1.2,5.37,31,8.13,0.49,110,3.85,10.1,,,,
31032,"Vegetable smoothie, NAKED JUICE, KALE BLAZER",0.07,0.7,6.05,28,7,0.8,33,0.25,3.9,,,,
43312,"Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added",0.2,3.1,2.41,37,7.31,1.4,21,0.65,3.8,,,,
11581,"Vegetables, mixed, canned, drained solids",0.25,3,2.41,49,9.26,2.59,27,1.05,5,,,,
11894,"Vegetables, mixed, frozen, cooked, boiled, drained, with salt",0.15,4.4,3.12,60,13.09,2.86,25,0.82,3.2,,,,
11584,"Vegetables, mixed, frozen, cooked, boiled, drained, without salt",0.15,4.4,3.12,65,13.09,2.86,25,0.82,3.2,,,,
43134,Vegetarian fillets,18,6.1,0.8,290,9,23,95,2,0,,,,
43137,Vegetarian meatloaf or patties,9,4.6,1.2,197,8,21,29,2.1,0,,,,
16147,"Veggie burgers or soyburgers, unprepared",6.3,4.9,1.07,177,14.27,15.7,136,2.41,4.5,,,,
43114,"Vermicelli, made from soy",0.1,3.9,17.44,331,82.32,0.1,55,1.81,0,,,,
11588,"Waterchestnuts, chinese, (matai), raw",0.1,3,4.8,97,23.94,1.4,11,0.06,4,,,,
11590,"Waterchestnuts, chinese, canned, solids and liquids",0.06,2.5,2.46,50,12.3,0.88,4,0.87,1.3,,,,
11591,"Watercress, raw",0.1,0.5,0.2,11,1.29,2.3,120,0.2,43,,,,
9326,"Watermelon, raw",0.15,0.4,6.2,30,7.55,0.61,7,0.24,8.1,,,,
11895,"Waxgourd, (chinese preserving melon), cooked, boiled, drained, with salt",0.2,1,1.18,11,2.45,0.4,18,0.38,10.5,,,,
11594,"Waxgourd, (chinese preserving melon), cooked, boiled, drained, without salt",0.2,1,1.18,14,3.04,0.4,18,0.38,10.5,,,,
20077,"Wheat bran, crude",4.25,42.8,0.41,216,64.51,15.55,73,10.57,0,,,,
20081,"Wheat flour, white, all-purpose, enriched, bleached",0.98,2.7,0.27,364,76.31,10.33,15,4.64,0,,,,
20581,"Wheat flour, white, all-purpose, enriched, unbleached",0.98,2.7,0.27,364,76.31,10.33,15,4.64,0,,,,
20082,"Wheat flour, white, all-purpose, self-rising, enriched",0.97,2.7,0.22,354,74.22,9.89,338,4.67,0,,,,
20481,"Wheat flour, white, all-purpose, unenriched",0.98,2.7,0.27,364,76.31,10.33,15,1.17,0,,,,
20083,"Wheat flour, white, bread, enriched",1.66,2.4,0.31,361,72.53,11.98,15,4.41,0,,,,
20084,"Wheat flour, white, cake, enriched",0.86,1.7,0.31,362,78.03,8.2,14,7.32,0,,,,
20080,"Wheat flour, whole-grain",2.5,10.7,0.41,340,71.97,13.21,34,3.6,0,,,,
20129,"Wheat flours, bread, unenriched",1.66,2.4,0.31,361,72.53,11.98,15,0.9,0,,,,
20071,"Wheat, hard red spring",1.92,12.2,0.41,329,68.03,15.4,25,3.6,0,,,,
20072,"Wheat, hard red winter",1.54,12.2,0.41,327,71.18,12.61,29,3.19,0,,,,
20074,"Wheat, hard white",1.71,12.2,0.41,342,75.9,11.31,32,4.56,0,,,,
20138,"Wheat, KAMUT khorasan, uncooked",2.13,11.1,7.84,337,70.58,14.54,22,3.77,0,,,,
20073,"Wheat, soft red winter",1.56,12.5,0.41,331,74.24,10.35,27,3.21,0,,,,
20075,"Wheat, soft white",1.99,12.7,0.41,340,75.36,10.69,34,5.37,0,,,,
20089,"Wild rice, cooked",0.34,1.8,0.73,101,21.34,3.99,3,0.6,0,,,,
20088,"Wild rice, raw",1.08,6.2,2.5,357,74.9,14.73,21,1.96,0,,,,
16521,"WORTHINGTON Vegetable Skallops, canned, unprepared",1.2,3.4,0.3,109,4.6,19.9,7,1.4,0,,,,
16522,"WORTHINGTON Vegetable Steaks, canned, unprepared",1.2,2.2,0.5,113,5.1,20.7,6,3.8,0,,,,
16523,"WORTHINGTON Vegetarian Burger, canned, unprepared",2.9,2.7,0.6,124,6.2,18.6,8,2.6,0,,,,
16524,"WORTHINGTON Veja-Links, canned, unprepared",8.9,3.3,0.5,155,4.1,14.6,23,3.5,0,,,,
11603,"Yambean (jicama), raw",0.09,4.9,1.8,38,8.82,0.72,12,0.6,20.2,,,,
43406,Yeast extract spread,0.9,6.5,1.6,185,20.42,23.88,67,4.04,0,,,,
